School Name,Department,Program,Scholar's Association,Scholar's Association Facebook Page,Type of Institution
"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",College of Architecture and Fine Arts,BS Architecture,EARIST-SIKAT,,State Universities and Colleges
"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",College of Engineering,BS Civil Engineering,EARIST-SIKAT,,State Universities and Colleges
"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",College of Engineering,BS Chemical Engineering,EARIST-SIKAT,,State Universities and Colleges
"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",College of Engineering,BS Computer Engineering,EARIST-SIKAT,,State Universities and Colleges
"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",College of Engineering,BS Electrical Engineering,EARIST-SIKAT,,State Universities and Colleges
"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",College of Engineering,BS Electronics and Communications Engineering,EARIST-SIKAT,,State Universities and Colleges
"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",College of Engineering,BS Mechanical Engineering,EARIST-SIKAT,,State Universities and Colleges
"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",College of Arts and Sciences,BS Applied Physics with Computer Science Emphasis,EARIST-SIKAT,,State Universities and Colleges
"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",College of Arts and Sciences,BS Computer Science,EARIST-SIKAT,,State Universities and Colleges
"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",College of Arts and Sciences,BS Information Technology,EARIST-SIKAT,,State Universities and Colleges
"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",College of Arts and Sciences,BS Mathematics,EARIST-SIKAT,,State Universities and Colleges
"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",College of Arts and Sciences,BS Psychology,EARIST-SIKAT,,State Universities and Colleges
"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",College of Education,BSEd major in Mathematics,EARIST-SIKAT,,State Universities and Colleges
"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",College of Education,BSEd major in Science,EARIST-SIKAT,,State Universities and Colleges
Pamantasan ng Lungsod ng Maynila,College of Architecture and Sustainable Built Environments,BS Architecture,PLM DOST Scholars' Association,https://www.facebook.com/dostsaPLM,State Universities and Colleges
Pamantasan ng Lungsod ng Maynila,College of Engineering,BS Civil Engineering,PLM DOST Scholars' Association,https://www.facebook.com/dostsaPLM,State Universities and Colleges
Pamantasan ng Lungsod ng Maynila,College of Engineering,BS Chemical Engineering,PLM DOST Scholars' Association,https://www.facebook.com/dostsaPLM,State Universities and Colleges
Pamantasan ng Lungsod ng Maynila,College of Engineering,BS Computer Engineering,PLM DOST Scholars' Association,https://www.facebook.com/dostsaPLM,State Universities and Colleges
